X_variable,Y_variable,Slope,Intercept,Class,Formula,R_squared,F_statistic,F_df_num,F_df_denom,F_pvalue,LR_chi2,LR_pvalue,LR_df
sepal_length,sepal_width,0.7985283006471535,-0.5694326730396501,setosa,sepal_width = 0.7985 * sepal_length + -0.5694,0.5513755803923135,58.993729948929385,1.0,48.0,6.709843017660564e-10,40.078461161445645,2.439641764205019e-10,1.0
sepal_length,sepal_width,0.3197193455481341,0.8721459648262737,versicolor,sepal_width = 0.3197 * sepal_length + 0.8721,0.27658208255293504,18.35168806627233,1.0,48.0,8.771860011973844e-05,16.188409569476278,5.734390319873234e-05,1.0
sepal_length,sepal_width,0.23189049503351375,1.4463054187192113,virginica,sepal_width = 0.2319 * sepal_length + 1.4463,0.20905727608452873,12.6870744854716,1.0,48.0,0.000843462472370878,11.726486177557362,0.0006161682244086094,1.0
sepal_length,petal_length,0.1316316809566046,0.8030518051312381,setosa,petal_length = 0.1316 * sepal_length + 0.8031,0.07138288612709598,3.689764578869869,1.0,48.0,0.060697783801135136,3.7029386904272883,0.054316723667299935,1.0
sepal_length,petal_length,0.6864697591764197,0.18511550952876665,versicolor,petal_length = 0.6865 * sepal_length + 0.1851,0.5685898319537042,63.263024275424556,1.0,48.0,2.586189505280922e-10,42.03479877123493,8.966350357355863e-11,1.0
sepal_length,petal_length,0.7500807558749898,0.6104679802955637,virginica,petal_length = 0.7501 * sepal_length + 0.6105,0.746884389017568,141.6366637114751,1.0,48.0,6.297785758903905e-16,68.6954467112179,1.1490592206236933e-16,1.0
sepal_length,petal_width,0.08314444334942998,-0.17022108340724654,setosa,petal_width = 0.0831 * sepal_length + -0.1702,0.07733869390569892,4.02342363655395,1.0,48.0,0.050526441763983035,4.024653039922839,0.04483984208281756,1.0
sepal_length,petal_width,0.20935719100435074,0.08325571419817324,versicolor,petal_width = 0.2094 * sepal_length + 0.0833,0.2986197027727231,20.436481876886784,1.0,48.0,4.0354215260679114e-05,17.735251615375518,2.538780729459695e-05,1.0
sepal_length,petal_width,0.12141645804732322,1.226108374384235,virginica,petal_width = 0.1214 * sepal_length + 1.2261,0.07902154414767593,4.118483005748665,1.0,48.0,0.04798149336918868,4.115931756301421,0.04248111844499405,1.0
sepal_width,sepal_length,0.6904897170776048,2.6390012498579694,setosa,sepal_length = 0.6905 * sepal_width + 2.6390,0.5513755803923135,58.993729948929406,1.0,48.0,6.709843017660542e-10,40.07846116144566,2.4396417642049994e-10,1.0
sepal_width,sepal_length,0.8650777202072532,3.539734715025906,versicolor,sepal_length = 0.8651 * sepal_width + 3.5397,0.2765820825529349,18.351688066272324,1.0,48.0,8.771860011973876e-05,16.188409569476292,5.7343903198731846e-05,1.0
sepal_width,sepal_length,0.9015344766688909,3.9068364663867206,virginica,sepal_length = 0.9015 * sepal_width + 3.9068,0.20905727608452895,12.687074485471609,1.0,48.0,0.0008434624723708721,11.726486177557376,0.0006161682244086042,1.0
sepal_width,petal_length,0.08141120327235532,1.182922395182366,setosa,petal_length = 0.0814 * sepal_width + 1.1829,0.03157727819442013,1.5651319606650678,1.0,48.0,0.21697892419685963,1.604329547469888,0.2052907283346649,1.0
sepal_width,petal_length,0.8393782383419691,1.9349222797927452,versicolor,petal_length = 0.8394 * sepal_width + 1.9349,0.3141850152758756,21.9897218187912,1.0,48.0,2.3021679804283858e-05,18.857369460029616,1.4086581747440864e-05,1.0
sepal_width,petal_length,0.6863152937482832,3.5108983163926064,virginica,petal_length = 0.6863 * sepal_width + 3.5109,0.1608367530160536,9.199835875221858,1.0,48.0,0.0038977040683383173,8.767500907972092,0.0030664531707483233,1.0
sepal_width,petal_width,0.06470855584592655,0.024179070560163662,setosa,petal_width = 0.0647 * sepal_width + 0.0242,0.05417349879346578,2.7492652603508954,1.0,48.0,0.1038211433052464,2.784806464032499,0.09516218910885262,1.0
sepal_width,petal_width,0.4184455958549222,0.16690569948186487,versicolor,petal_width = 0.4184 * sepal_width + 0.1669,0.4408943001936584,37.85138734344122,1.0,48.0,1.4666608142179507e-07,29.070836819584883,6.977952526022629e-08,1.0
sepal_width,petal_width,0.457949060083984,0.6640594953102323,virginica,petal_width = 0.4579 * sepal_width + 0.6641,0.28915143023213086,19.52493012073531,1.0,48.0,5.6476104022877496e-05,17.064792695258518,3.612586389968916e-05,1.0
petal_length,sepal_length,0.5422925971038043,4.213168223034239,setosa,sepal_length = 0.5423 * petal_length + 4.2132,0.07138288612709587,3.68976457886986,1.0,48.0,0.06069778380113537,3.70293869042726,0.05431672366730095,1.0
petal_length,sepal_length,0.8282809611829944,2.407523105360441,versicolor,sepal_length = 0.8283 * petal_length + 2.4075,0.5685898319537042,63.26302427542456,1.0,48.0,2.586189505280922e-10,42.03479877123493,8.966350357355863e-11,1.0
petal_length,sepal_length,0.9957386363636354,1.0596590909090868,virginica,sepal_length = 0.9957 * petal_length + 1.0597,0.746884389017568,141.63666371147505,1.0,48.0,6.297785758903971e-16,68.69544671121787,1.1490592206237103e-16,1.0
petal_length,sepal_width,0.38787386655839795,2.860928407091621,setosa,sepal_width = 0.3879 * petal_length + 2.8609,0.031577278194420355,1.5651319606650758,1.0,48.0,0.2169789241968597,1.604329547469888,0.2052907283346649,1.0
petal_length,sepal_width,0.37430683918669133,1.1754528650646956,versicolor,sepal_width = 0.3743 * petal_length + 1.1755,0.3141850152758757,21.98972181879121,1.0,48.0,2.3021679804283756e-05,18.857369460029588,1.4086581747441085e-05,1.0
